Time - Sine,Amplitude - Sine
0,0
0.001,0.159457
0.002,0.315781
0.003,0.465941
0.004,0.607104
0.005,0.736725
0.006,0.852631
0.007,0.953084
0.008,1.03683
0.009,1.10316
0.01,1.15188
0.011,1.18335
0.012,1.19843
0.013,1.1985
0.014,1.18532
0.015,1.16103
0.016,1.12802
0.017,1.08889
0.018,1.0463
0.019,1.0029
0.02,0.961239
0.021,0.923632
0.022,0.892119
0.023,0.868365
0.024,0.853605
0.025,0.8486
0.026,0.853605
0.027,0.868365
0.028,0.892119
0.029,0.923632
0.03,0.961239
0.031,1.0029
0.032,1.0463
0.033,1.08889
0.034,1.12802
0.035,1.16103
0.036,1.18532
0.037,1.1985
0.038,1.19843
0.039,1.18335
0.04,1.15188
0.041,1.10316
0.042,1.03683
0.043,0.953084
0.044,0.852631
0.045,0.736725
0.046,0.607104
0.047,0.465941
0.048,0.315781
0.049,0.159457
0.05,7.34E-16
0.051,-0.159457
0.052,-0.315781
0.053,-0.465941
0.054,-0.607104
0.055,-0.736725
0.056,-0.852631
0.057,-0.953084
0.058,-1.03683
0.059,-1.10316
0.06,-1.15188
0.061,-1.18335
0.062,-1.19843
0.063,-1.1985
0.064,-1.18532
0.065,-1.16103
0.066,-1.12802
0.067,-1.08889
0.068,-1.0463
0.069,-1.0029
0.07,-0.961239
0.071,-0.923632
0.072,-0.892119
0.073,-0.868365
0.074,-0.853605
0.075,-0.8486
0.076,-0.853605
0.077,-0.868365
0.078,-0.892119
0.079,-0.923632
0.08,-0.961239
0.081,-1.0029
0.082,-1.0463
0.083,-1.08889
0.084,-1.12802
0.085,-1.16103
0.086,-1.18532
0.087,-1.1985
0.088,-1.19843
0.089,-1.18335
0.09,-1.15188
0.091,-1.10316
0.092,-1.03683
0.093,-0.953084
0.094,-0.852631
0.095,-0.736725
0.096,-0.607104
0.097,-0.465941
0.098,-0.315781
0.099,-0.159457
